platform,milliseconds_played,latitude,longitude,city,timestamp,source,track_id,track_name,album_name,artist_id,artist_name,valence_score,danceability_score,familiarity_score,song_year,song_tempo,runnability,energy,popularity_normalized
"iOS 8.3 (iPad3,1)",139,40.8,-74,New York,1435712778,playlist,8120a12b038b4dbc8178ee9800e6705d,Colonel Hathi's March (The Elephant Song),The Jungle Book,5586948cf8554ebb8a69275bf8a5211e,J. Pat O'Malley,0.818451,0.845071,0.151999,2003,95.903,0.16226228,0.40278235,0.4817632045
"iOS 8.3 (iPad3,1)",222128,40.8,-74,New York,1435713001,artist,723848ccf3504667bf4542960a1e911e,Trap Queen,Trap Queen,e0ae28c73c074041a0ea7fb761912799,Fetty Wap,0.806121,0.746402,0.573777,2014,148.075,0.96846616,0.87267476,0.8169168461
OS X 10.10.3 [x86 8],128174,40.7,-74,New York,1435763381,playlist-owned-by-other-non-collaborative,0453757856c34cbca94ce3083902623c,Do You,They Want My Soul,1863c9ee9a974cce906c355c24fd1218,Spoon,null,null,null,null,null,0.9234885,0.93581873,0.6294400732
OS X 10.10.3 [x86 8],257853,40.7,-74,New York,1435763718,playlist-owned-by-other-non-collaborative,905b7a90916e47278b29b321f83174e3,H.S.K.T.,Sylvan Esso,679c2d937ed74565acfc3dcd88bcef19,Sylvan Esso,0.785303,0.958861,0.543199,2014,114.016,0.6476852,0.62549615,0.6210617904
OS X 10.10.3 [x86 8],245293,40.7,-74,New York,1435763964,playlist-owned-by-other-non-collaborative,cdd41171bdab4ca48fa3f9e964aafcd0,The Wire,Days Are Gone,a1423e10f27a4c4f92285dad83368658,HAIM,0.49587,0.5472,0.579221,2013,113.678,0.09655658,0.635057,0.6753864446
OS X 10.10.3 [x86 8],23637,40.7,-74,New York,1435763988,playlist-owned-by-other-non-collaborative,cde93132c1fb42c588c8074e1307573f,You Go Down Smooth,Bad Self Portraits,6f047a027840481eaedd9b806dd102e5,Lake Street Dive,null,null,null,null,null,0.85647786,0.7942522,0.58828509
OS X 10.10.3 [x86 8],168066,40.7,-74,New York,1435764156,playlist-owned-by-other-non-collaborative,269f2d8346de4af39972b7a108dc27ff,Ruby Blue,Ruby Blue,709fc9e1847d42f6a26e997919fab980,Róisín Murphy,0.9105,0.920516,0.666004,2005,117.986,0.3866474,0.5696381,0.4946611573
OS X 10.10.3 [x86 8],166480,40.7,-74,New York,1435764322,playlist-owned-by-other-non-collaborative,f89dd076035e423c87baffd2d01216e7,Violent Shiver,Violent Shiver,f22e398822cf4283b91111f1d134b49b,Benjamin Booker,null,null,null,null,null,0.65571845,0.969178,0.5429115899
OS X 10.10.3 [x86 8],212693,40.7,-74,New York,1435764536,playlist-owned-by-other-non-collaborative,bfafb5398012435cbace460a101c9337,Sissy That Walk,Born Naked,5e72f76a6e1d4c45af7fc07bdc64f4ac,RuPaul,0.589081,0.825523,0.610444,2014,126.046,0.7968947,0.6140339,0.6355273706
OS X 10.10.3 [x86 8],184320,40.7,-74,New York,1435764720,playlist-owned-by-other-non-collaborative,012323e9d66c4275a8c54039b5ef4886,You Make My Dreams,[500] Days Of Summer - Music From The Motion Picture,e9f68db0fd404b91a633c9f567041f55,Daryl Hall & John Oates,null,null,null,null,null,0.2595004,0.64385194,0.6326665995
OS X 10.10.3 [x86 8],204279,40.7,-74,New York,1435764925,playlist-owned-by-other-non-collaborative,f83d3a3b5cd849acb25a1e41951ec9a8,Riptide,Dream Your Life Away,20fb2fd43da34c118f3ddb0e77915129,Vance Joy,null,null,null,null,null,0.86092937,0.7310756,0.7586548531
OS X 10.10.3 [x86 8],214160,40.7,-74,New York,1435765140,playlist-owned-by-other-non-collaborative,b563eadcf6d544308451ab84e291e743,Waves,Waves,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,null,null,null,null,null,0.8976496,0.7917506,0.5284075805
OS X 10.10.3 [x86 8],19179,40.7,-74,New York,1435765159,playlist-owned-by-other-non-collaborative,d371a27c1bf94729b11f354e4befa75e,Elephant,Lonerism,bc0607be1c0a48249f9071e248a455a5,Tame Impala,0.4745,0.600374,0.701163,2012,122.989,0.94553584,0.5748063,0.657039489
OS X 10.10.3 [x86 8],192786,40.7,-74,New York,1435765351,artist,b637c6625eb3488590ec4a3658227db7,Be Brave,About Last Night,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,null,null,null,null,null,0.9607823,0.8327495,0.4381383455
OS X 10.10.3 [x86 8],215213,40.7,-74,New York,1435765566,artist,b8f1e6da7bd24011bfc0ede5f9993ba1,Waves,About Last Night,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,null,null,null,null,null,0.8871358,0.7877884,0.5045595531
OS X 10.10.3 [x86 8],25774,40.7,-74,New York,1435765592,artist,6afd4b9d962243e7bff3e53c931d59ff,Take It Off,About Last Night,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,0.962801,0.719342,0.420408,2014,115,0.95008695,0.932318,0.4032460542
OS X 10.10.3 [x86 8],169253,40.7,-74,New York,1435765761,playlist-owned-by-other-non-collaborative,512e1b9d69814b5980026664361abacb,Happy With Me,MINDSPEAK,8d379b11353b442da82bfaaef8acea6a,HOLYCHILD,null,null,null,null,null,0.7312238,0.64371806,0.5750344671
OS X 10.10.3 [x86 8],68127,40.7,-74,New York,1435765829,playlist-owned-by-other-non-collaborative,bd7ca80877704ce79436ed027adc8b5d,Hideaway,Hideaway,96431768010848249af90840a5277ac8,Kiesza,null,null,null,null,null,0.6456676,0.60759854,0.6499426839
OS X 10.10.3 [x86 8],185740,40.7,-74,New York,1435766014,playlist-owned-by-other-non-collaborative,5cb3bdfa0ccd490cbd2240781c7d4171,Cherry Lips,Thirty Three,226aa69f6c05441d857974be2cdd013a,Loon Lake,0.332511,0.857491,0.43437,2012,98.956,0.589791,0.5077002,0.5643250219
OS X 10.10.3 [x86 8],183693,40.7,-74,New York,1435766199,playlist-owned-by-other-non-collaborative,ecb8596bfb9346f98e5969b603d22d20,Black Sheep,Gravel & Wine,99fc8fde589545399c008364c03334b8,Gin Wigmore,null,null,null,null,null,0.89192843,0.68096095,0.5555135374
OS X 10.10.3 [x86 8],233133,40.7,-74,New York,1435766432,playlist-owned-by-other-non-collaborative,1a23b381751a404699268fd28997b6e3,The Walker,More Than Just A Dream,969d399e8aa541d398bb3e82babb6792,Fitz and The Tantrums,0.743383,0.769771,0.532769,2013,130.76,0.93149555,0.8011168,0.6950536635
OS X 10.10.3 [x86 8],4179,40.7,-74,New York,1435766440,playlist-owned-by-other-non-collaborative,2126b47035fc42d9950919c87e1ec02c,Hurricane Season,Backatown,66ce54ac5e5b427aaa973a93c4fb0221,Trombone Shorty,0.814719,0.760906,0.533462,2010,99.949,0.96842265,0.81633794,0.5417470286
"iOS 8.4 (iPhone7,2)",184586,40.7,-74.1,Jersey City,1435788945,album,a0a99a54d666462eb508b6c7cf3d3ed7,a beautiful exit,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.249931,0.537897,0.692272,2015,142.719,0.39718026,0.4912335,0.6172461038
"iOS 8.4 (iPhone7,2)",257960,40.7,-74.1,Jersey City,1435789203,album,7d218ac1e9fd4108bde0f9305759e9fa,DEAL,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.472172,0.571654,0.692272,2015,107.015,0.9703143,0.8438924,0.6049089726
"iOS 8.3 (iPad3,1)",1020,40.8,-74,New York,1435798897,artist,9d2c4e0efd434c0fbf13041c326b279d,Trap Queen (feat. Quavo & Gucci Mane),Trap Queen (feat. Quavo & Gucci Mane),e0ae28c73c074041a0ea7fb761912799,Fetty Wap,0.80498,0.74487,0.573777,2015,148.075,0.9592612,0.84865797,0.7257264615
"iOS 8.3 (iPad3,1)",220171,40.8,-74,New York,1435799116,search,723848ccf3504667bf4542960a1e911e,Trap Queen,Trap Queen,e0ae28c73c074041a0ea7fb761912799,Fetty Wap,0.806121,0.746402,0.573777,2014,148.075,0.96846616,0.87267476,0.8169168461
"iOS 8.3 (iPad3,1)",22244,40.8,-74,New York,1435799138,album,3595f49522334f19b8e974aca1e79edb,Nuclear Seasons,True Romance,449f5ae30fc344e893584ba0b8d3511d,Charli XCX,0.26039,0.52139,0.640002,2013,115.039,0.7555933,0.9398357,0.5155738098
"iOS 8.3 (iPad3,1)",18483,40.8,-74,New York,1435799156,album,5f0ca816c7614147a251368ff4340743,the valley,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.34877,0.642092,0.692272,2015,88.979,0.48732784,0.3536979,0.6321555351
"iOS 8.3 (iPad3,1)",1857,40.8,-74,New York,1435799157,album,7d218ac1e9fd4108bde0f9305759e9fa,DEAL,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.472172,0.571654,0.692272,2015,107.015,0.9703143,0.8438924,0.6049089726
"iOS 8.3 (iPad3,1)",185746,40.8,-74,New York,1435799342,album,5f0ca816c7614147a251368ff4340743,the valley,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.34877,0.642092,0.692272,2015,88.979,0.48732784,0.3536979,0.6321555351
"iOS 8.3 (iPad3,1)",119025,40.8,-74,New York,1435799490,album,d5fbc0833f4e461fad99a33c42715d0b,coffee,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.135543,0.524104,0.692272,2015,161.997,0.76546264,0.61821306,0.6680825526
"iOS 8.3 (iPad3,1)",214160,40.8,-74,New York,1435799704,playlist,b563eadcf6d544308451ab84e291e743,Waves,Waves,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,null,null,null,null,null,0.8976496,0.7917506,0.5284075805
"iOS 8.3 (iPad3,1)",5015,40.8,-74,New York,1435799709,playlist,d371a27c1bf94729b11f354e4befa75e,Elephant,Lonerism,bc0607be1c0a48249f9071e248a455a5,Tame Impala,0.4745,0.600374,0.701163,2012,122.989,0.94553584,0.5748063,0.657039489
"iOS 8.3 (iPad3,1)",7894,40.8,-74,New York,1435799716,playlist,e7fc7034355d420e9294466ed1e8e508,Uptight Downtown,Uptight Downtown,7af861738f0f41d28be4af959e4a55ce,La Roux,0.964179,0.751459,0.673026,2014,123.212,0.7410026,0.73030216,0.3966444761
"iOS 8.3 (iPad3,1)",149675,40.8,-74,New York,1435800033,playlist,1d12970b8a7643899fda22de77f1cfe0,Water Fountain,nikki nack,058bf68ae7a745d9b7a3b0678990cd5c,tUnE-yArDs,null,null,null,null,null,0.8283464,0.6904666,0.6102013185
"iOS 8.4 (iPhone7,2)",1021,40.7,-74,New York,1435855722,album,5f0ca816c7614147a251368ff4340743,the valley,Wildheart (Deluxe Version),65c1a40d8e3d494db2909f599deb6cf0,Miguel,0.34877,0.642092,0.692272,2015,88.979,0.48732784,0.3536979,0.6321555351
"iOS 8.4 (iPhone7,2)",15890,40.7,-74,New York,1435855737,album,8fdc7d841df242bab58c8e63c108fccc,Magic,Lost in the Girl,05017648ae464a648617e6818468aaba,Kwamie Liv,null,null,null,null,null,0.041609496,0.32590678,0.4658204748
